,symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
1498,BTCUSDT,-3130.43,-6.733,45292.9849465,46499.52,43362.26,0.008533,43362.79,0.033377,43368.59,0.002074,46492.69,47557.14,43273.4,77399.757419,3505666047.6414304,1614440582559.0,1614526982559.0,673770123.0,675579252.0,1809130.0
1499,BTCUSDT,-3123.78,-6.719,45292.95754888,46484.92,43365.79,0.001068,43365.81,0.002074,43376.47,0.030997,46489.57,47557.14,43273.4,77400.69704,3505706485.2861094,1614440583517.0,1614526983517.0,673770137.0,675579285.0,1809149.0
1500,BTCUSDT,-3127.67,-6.728,45292.89523902,46489.32,43359.32,0.146251,43360.0,0.52,43363.85,0.005713,46486.99,47557.14,43273.4,77399.823963,3505662118.2750244,1614440584546.0,1614526984546.0,673770163.0,675579324.0,1809162.0
1501,BTCUSDT,-3082.68,-6.632,45292.85350124,46475.6,43397.38,0.005198,43397.38,0.073532,43399.54,0.11,46480.06,47557.14,43273.4,77401.345879,3505727819.6961284,1614440585541.0,1614526985541.0,673770176.0,675579370.0,1809195.0
1502,BTCUSDT,-3088.32,-6.645,45292.78249704,46474.23,43385.9,0.060371,43385.9,0.111204,43385.91,1.986194,46474.22,47557.14,43273.4,77403.253003,3505808702.8284235,1614440586542.0,1614526986542.0,673770193.0,675579419.0,1809227.0
1503,BTCUSDT,-3089.9,-6.649,45292.74707845,46472.95,43383.05,0.010059,43383.05,0.057823,43390.23,0.002532,46472.95,47557.14,43273.4,77403.301793,3505808171.147556,1614440587545.0,1614526987545.0,673770223.0,675579446.0,1809224.0
1504,BTCUSDT,-3108.27,-6.688,45292.66402731,46470.81,43366.53,0.180765,43350.01,0.029598,43365.82,0.096292,46474.8,47557.14,43273.4,77406.086093,3505927851.078898,1614440588552.0,1614526988552.0,673770245.0,675579498.0,1809254.0
1505,BTCUSDT,-3120.8,-6.715,45292.5387246,46481.45,43355.79,0.117522,43354.37,0.041623,43361.16,0.202228,46476.59,47557.14,43273.4,77410.486085,3506117438.694902,1614440589559.0,1614526989559.0,673770255.0,675579584.0,1809330.0
1506,BTCUSDT,-3128.26,-6.728,45292.48607598,46493.42,43365.16,0.032767,43369.16,0.040086,43377.01,0.04724,46493.42,47557.14,43273.4,77411.06212,3506139453.1971846,1614440590479.0,1614526990479.0,673770276.0,675579624.0,1809349.0
1507,BTCUSDT,-3111.99,-6.694,45292.30355856,46491.74,43376.45,0.399747,43377.58,0.032756,43395.53,0.034947,46488.44,47557.14,43273.4,77416.108221,3506353873.8677077,1614440591524.0,1614526991524.0,673770302.0,675579677.0,1809376.0
1508,BTCUSDT,-3094.85,-6.658,45292.24803203,46484.53,43388.25,0.004,43388.25,0.096486,43397.99,0.009362,46483.1,47557.14,43273.4,77417.848402,3506428391.929809,1614440592554.0,1614526992554.0,673770311.0,675579722.0,1809412.0
1509,BTCUSDT,-3099.76,-6.668,45292.22547179,46486.95,43387.19,0.011115,43382.85,0.07036,43387.19,0.299075,46486.95,47557.14,43273.4,77418.23964,3506444365.4042354,1614440593553.0,1614526993553.0,673770325.0,675579749.0,1809425.0
1510,BTCUSDT,-3137.87,-6.748,45292.19551052,46510.08,43364.81,0.052585,43365.4,0.006,43366.0,0.371692,46502.68,47557.14,43273.4,77418.893094,3506471642.221808,1614440594561.0,1614526994561.0,673770348.0,675579800.0,1809453.0
1511,BTCUSDT,-3136.39,-6.745,45292.08987358,46509.92,43365.3,0.002126,43365.55,0.040552,43369.57,0.006321,46501.69,47557.14,43273.4,77422.08436,3506608003.0333147,1614440595546.0,1614526995546.0,673770356.0,675579879.0,1809524.0
1512,BTCUSDT,-3149.74,-6.774,45292.05137279,46500.3,43350.57,0.014649,43344.38,0.05,43350.56,0.043638,46500.31,47557.14,43273.4,77422.425671,3506620480.896573,1614440596569.0,1614526996569.0,673770383.0,675579915.0,1809533.0
1513,BTCUSDT,-3147.13,-6.768,45292.03029543,46500.31,43355.55,0.000931,43353.19,0.05,43360.86,0.4,46502.68,47557.14,43273.4,77422.514746,3506622883.4240155,1614440597553.0,1614526997553.0,673770400.0,675579941.0,1809542.0
